eid,cycle,firmware
66090,2011-2012,2.3.0
66091,2011-2012,1.9.0
66092,2011-2012,2.3.0
66093,2011-2012,2.5.0
66094,2011-2012,1.8.0
66095,2011-2012,2.4.0
66099,2011-2012,2.4.0
66101,2011-2012,1.5.0
66103,2011-2012,2.5.0
66104,2011-2012,1.8.0
66105,2011-2012,2.4.0
66107,2011-2012,2.5.0
66109,2011-2012,2.4.0
66110,2011-2012,2.2.0
66111,2011-2012,2.4.0
66113,2011-2012,2.4.0
66114,2011-2012,1.5.0
66115,2011-2012,1.8.0
66116,2011-2012,1.8.0
66117,2011-2012,2.4.0
66118,2011-2012,2.5.0
66119,2011-2012,2.2.0
66121,2011-2012,2.4.0
66123,2011-2012,2.5.0
66124,2011-2012,1.8.0
66125,2011-2012,2.2.0
66126,2011-2012,1.8.0
66127,2011-2012,1.9.0
66129,2011-2012,2.1.0
66131,2011-2012,2.4.0
66132,2011-2012,1.9.0
66133,2011-2012,2.4.0
66135,2011-2012,2.4.0
66136,2011-2012,2.3.0
66137,2011-2012,2.4.0
66138,2011-2012,2.2.0
66139,2011-2012,2.2.0
66140,2011-2012,1.8.0
66141,2011-2012,2.4.0
66142,2011-2012,1.8.0
66146,2011-2012,1.9.0
66147,2011-2012,2.3.0
66149,2011-2012,1.8.0
66150,2011-2012,2.5.0
66151,2011-2012,1.8.0
66153,2011-2012,2.5.0
66154,2011-2012,2.4.0
66155,2011-2012,2.2.0
66157,2011-2012,1.9.0
66159,2011-2012,1.7.0
66161,2011-2012,2.3.0
66162,2011-2012,2.5.0
66163,2011-2012,2.2.0
66164,2011-2012,2.2.0
66165,2011-2012,2.4.0
66167,2011-2012,2.3.0
66168,2011-2012,1.5.0
66171,2011-2012,2.4.0
66172,2011-2012,2.4.0
66173,2011-2012,1.5.0
66175,2011-2012,2.5.0
66177,2011-2012,2.4.0
66178,2011-2012,1.5.0
66179,2011-2012,2.4.0
66180,2011-2012,2.4.0
66181,2011-2012,1.8.0
66182,2011-2012,2.4.0
66183,2011-2012,1.9.0
66184,2011-2012,2.5.0
66186,2011-2012,2.3.0
66189,2011-2012,1.9.0
66191,2011-2012,2.0.0
66192,2011-2012,2.4.0
66193,2011-2012,1.7.0
66194,2011-2012,2.4.0
66195,2011-2012,2.3.0
66196,2011-2012,2.5.0
66197,2011-2012,2.5.0
66198,2011-2012,2.4.0
66199,2011-2012,2.3.0
66200,2011-2012,1.8.0
66201,2011-2012,1.8.0
66202,2011-2012,2.2.0
66203,2011-2012,2.4.0
66204,2011-2012,2.5.0
66205,2011-2012,1.7.0
66206,2011-2012,2.5.0
66207,2011-2012,2.4.0
66208,2011-2012,2.4.0
66209,2011-2012,2.5.0
66210,2011-2012,2.4.0
66211,2011-2012,2.5.0
66212,2011-2012,1.5.0
66213,2011-2012,2.3.0
66214,2011-2012,2.5.0
66215,2011-2012,2.4.0
66216,2011-2012,2.4.0
66217,2011-2012,2.3.0
66218,2011-2012,2.4.0
66219,2011-2012,2.5.0
66220,2011-2012,2.2.0
66222,2011-2012,2.4.0
66223,2011-2012,2.4.0
66224,2011-2012,2.5.0
66227,2011-2012,2.2.0
66228,2011-2012,2.2.0
66229,2011-2012,2.2.0
66230,2011-2012,2.4.0
66232,2011-2012,2.4.0
66233,2011-2012,2.4.0
66234,2011-2012,2.3.0
66235,2011-2012,1.8.0
66237,2011-2012,2.5.0
66238,2011-2012,1.5.0
66239,2011-2012,2.2.0
66240,2011-2012,2.3.0
66241,2011-2012,1.9.0
66242,2011-2012,2.3.0
66243,2011-2012,1.5.0
66246,2011-2012,2.0.0
66247,2011-2012,1.5.0
66249,2011-2012,1.5.0
66250,2011-2012,2.3.0
66253,2011-2012,2.5.0
66254,2011-2012,2.5.0
66255,2011-2012,2.3.0
66256,2011-2012,2.0.0
66257,2011-2012,2.4.0
66258,2011-2012,1.7.0
66259,2011-2012,2.3.0
66261,2011-2012,2.4.0
66263,2011-2012,2.2.0
66264,2011-2012,2.3.0
66265,2011-2012,1.9.0
66266,2011-2012,2.3.0
66269,2011-2012,1.8.0
66270,2011-2012,1.8.0
66271,2011-2012,2.0.0
66272,2011-2012,1.9.0
66275,2011-2012,1.7.0
66276,2011-2012,2.4.0
66277,2011-2012,1.5.0
66278,2011-2012,2.4.0
66279,2011-2012,2.2.0
66280,2011-2012,2.4.0
66281,2011-2012,2.5.0
66283,2011-2012,1.5.0
66284,2011-2012,1.5.0
66285,2011-2012,2.4.0
66286,2011-2012,1.7.0
66287,2011-2012,2.4.0
66289,2011-2012,2.0.0
66290,2011-2012,1.7.0
66291,2011-2012,2.2.0
66292,2011-2012,2.5.0
66293,2011-2012,2.4.0
66294,2011-2012,2.0.0
66295,2011-2012,1.8.0
66296,2011-2012,1.8.0
66297,2011-2012,1.9.0
66298,2011-2012,2.5.0
66299,2011-2012,2.3.0
66300,2011-2012,1.5.0
66301,2011-2012,1.8.0
66302,2011-2012,1.9.0
66303,2011-2012,1.8.0
66304,2011-2012,1.8.0
66305,2011-2012,2.5.0
66306,2011-2012,2.5.0
66309,2011-2012,2.2.0
66311,2011-2012,2.3.0
66312,2011-2012,2.0.0
66317,2011-2012,1.8.0
66318,2011-2012,1.9.0
66320,2011-2012,1.9.0
66321,2011-2012,2.3.0
66323,2011-2012,1.5.0
66325,2011-2012,2.4.0
66327,2011-2012,2.4.0
66328,2011-2012,2.4.0
66329,2011-2012,2.1.0
66331,2011-2012,1.9.0
66332,2011-2012,2.4.0
66333,2011-2012,2.5.0
66334,2011-2012,2.4.0
66335,2011-2012,2.4.0
66336,2011-2012,1.8.0
66338,2011-2012,2.4.0
66339,2011-2012,1.9.0
66341,2011-2012,2.5.0
66342,2011-2012,2.5.0
66343,2011-2012,2.4.0
66344,2011-2012,2.5.0
66346,2011-2012,2.2.0
66347,2011-2012,1.9.0
66348,2011-2012,1.7.0
66349,2011-2012,1.5.0
66350,2011-2012,1.9.0
66351,2011-2012,2.0.0
66352,2011-2012,2.3.0
66354,2011-2012,2.4.0
66355,2011-2012,2.3.0
66358,2011-2012,1.8.0
66359,2011-2012,2.3.0
66360,2011-2012,2.3.0
66362,2011-2012,2.4.0
66366,2011-2012,1.8.0
66367,2011-2012,1.5.0
66368,2011-2012,2.4.0
66371,2011-2012,2.4.0
66373,2011-2012,2.4.0
66375,2011-2012,2.2.0
66376,2011-2012,2.0.0
66378,2011-2012,2.5.0
66381,2011-2012,2.4.0
66382,2011-2012,2.3.0
66384,2011-2012,2.1.0
66385,2011-2012,1.5.0
66386,2011-2012,2.4.0
66388,2011-2012,2.5.0
66389,2011-2012,2.2.0
66391,2011-2012,2.2.0
66392,2011-2012,1.7.0
66393,2011-2012,2.4.0
66396,2011-2012,1.7.0
66397,2011-2012,1.9.0
66398,2011-2012,1.8.0
66399,2011-2012,2.4.0
66400,2011-2012,2.4.0
66401,2011-2012,1.7.0
66402,2011-2012,1.8.0
66404,2011-2012,1.8.0
66405,2011-2012,2.4.0
66407,2011-2012,2.4.0
66409,2011-2012,2.0.0
66410,2011-2012,2.5.0
66411,2011-2012,2.5.0
66412,2011-2012,2.5.0
66416,2011-2012,2.4.0
66418,2011-2012,2.2.0
66420,2011-2012,2.5.0
66421,2011-2012,2.4.0
66423,2011-2012,1.9.0
66424,2011-2012,2.2.0
66425,2011-2012,2.1.0
66427,2011-2012,1.9.0
66429,2011-2012,1.9.0
66430,2011-2012,2.2.0
66431,2011-2012,1.9.0
66432,2011-2012,2.4.0
66433,2011-2012,1.5.0
66434,2011-2012,2.4.0
66436,2011-2012,2.5.0
66437,2011-2012,2.3.0
66438,2011-2012,2.5.0
66439,2011-2012,1.5.0
66440,2011-2012,2.0.0
66441,2011-2012,2.2.0
66442,2011-2012,1.8.0
66443,2011-2012,2.3.0
66444,2011-2012,2.4.0
66445,2011-2012,2.3.0
66447,2011-2012,1.5.0
66448,2011-2012,2.3.0
66449,2011-2012,2.4.0
66450,2011-2012,2.4.0
66451,2011-2012,2.4.0
66453,2011-2012,1.8.0
66454,2011-2012,1.7.0
66456,2011-2012,2.5.0
66457,2011-2012,2.4.0
66458,2011-2012,2.4.0
66459,2011-2012,2.2.0
66460,2011-2012,2.2.0
66462,2011-2012,1.7.0
66464,2011-2012,2.3.0
66465,2011-2012,1.9.0
66466,2011-2012,2.4.0
66467,2011-2012,2.4.0
66469,2011-2012,2.5.0
66470,2011-2012,1.9.0
66471,2011-2012,2.1.0
66473,2011-2012,2.5.0
66474,2011-2012,2.5.0
66475,2011-2012,1.7.0
66476,2011-2012,2.0.0
66478,2011-2012,1.5.0
66480,2011-2012,1.7.0
66481,2011-2012,1.9.0
66482,2011-2012,1.7.0
66484,2011-2012,2.0.0
66485,2011-2012,2.4.0
66487,2011-2012,2.4.0
66488,2011-2012,2.4.0
66491,2011-2012,2.5.0
66492,2011-2012,2.4.0
66493,2011-2012,1.9.0
66494,2011-2012,2.5.0
66495,2011-2012,2.5.0
66497,2011-2012,1.7.0
66498,2011-2012,2.4.0
66500,2011-2012,2.2.0
66504,2011-2012,2.0.0
66505,2011-2012,2.2.0
66506,2011-2012,2.0.0
66507,2011-2012,2.0.0
66508,2011-2012,2.0.0
66509,2011-2012,2.4.0
66510,2011-2012,2.4.0
66511,2011-2012,1.8.0
66512,2011-2012,2.3.0
66513,2011-2012,2.4.0
66515,2011-2012,2.4.0
66516,2011-2012,1.5.0
66519,2011-2012,2.4.0
66520,2011-2012,2.5.0
66521,2011-2012,1.9.0
66522,2011-2012,2.3.0
66523,2011-2012,2.2.0
66524,2011-2012,2.4.0
66525,2011-2012,2.5.0
66527,2011-2012,2.4.0
66528,2011-2012,1.7.0
66531,2011-2012,1.9.0
66533,2011-2012,1.8.0
66535,2011-2012,2.4.0
66536,2011-2012,2.3.0
66537,2011-2012,2.4.0
66538,2011-2012,1.5.0
66539,2011-2012,1.8.0
66541,2011-2012,2.5.0
66542,2011-2012,1.5.0
66543,2011-2012,2.4.0
66545,2011-2012,2.5.0
66547,2011-2012,2.4.0
66549,2011-2012,1.8.0
66550,2011-2012,1.8.0
66551,2011-2012,1.5.0
66552,2011-2012,2.5.0
66554,2011-2012,2.5.0
66557,2011-2012,1.8.0
66558,2011-2012,2.4.0
66559,2011-2012,2.4.0
66563,2011-2012,2.4.0
66564,2011-2012,2.4.0
66565,2011-2012,2.4.0
66566,2011-2012,2.4.0
66568,2011-2012,2.5.0
66569,2011-2012,1.9.0
66571,2011-2012,2.2.0
66574,2011-2012,1.7.0
66575,2011-2012,2.3.0
66576,2011-2012,1.8.0
66577,2011-2012,1.8.0
66578,2011-2012,2.3.0
66579,2011-2012,2.4.0
66581,2011-2012,2.2.0
66582,2011-2012,2.4.0
66583,2011-2012,2.4.0
66584,2011-2012,2.4.0
66585,2011-2012,2.2.0
66586,2011-2012,2.5.0
66587,2011-2012,2.4.0
66589,2011-2012,2.4.0
66590,2011-2012,1.8.0
66591,2011-2012,2.4.0
66592,2011-2012,2.0.0
66593,2011-2012,2.2.0
66594,2011-2012,1.5.0
66595,2011-2012,1.9.0
66596,2011-2012,2.2.0
66598,2011-2012,2.5.0
66599,2011-2012,1.5.0
66600,2011-2012,2.4.0
66602,2011-2012,2.4.0
66603,2011-2012,2.5.0
66605,2011-2012,2.4.0
66608,2011-2012,1.9.0
66609,2011-2012,2.4.0
66611,2011-2012,2.3.0
66614,2011-2012,1.9.0
66615,2011-2012,2.4.0
66617,2011-2012,2.4.0
66618,2011-2012,2.4.0
66619,2011-2012,1.9.0
66620,2011-2012,2.3.0
66622,2011-2012,2.2.0
66623,2011-2012,2.4.0
66624,2011-2012,2.5.0
66626,2011-2012,2.5.0
66627,2011-2012,2.2.0
66630,2011-2012,2.5.0
66631,2011-2012,1.5.0
66632,2011-2012,1.9.0
66633,2011-2012,2.3.0
66634,2011-2012,2.4.0
66635,2011-2012,2.4.0
66636,2011-2012,1.5.0
66638,2011-2012,2.0.0
66640,2011-2012,1.8.0
66641,2011-2012,1.9.0
66642,2011-2012,2.4.0
66643,2011-2012,2.4.0
66644,2011-2012,1.9.0
66645,2011-2012,2.3.0
66647,2011-2012,1.8.0
66648,2011-2012,2.5.0
66649,2011-2012,1.5.0
66650,2011-2012,1.5.0
66651,2011-2012,1.7.0
66652,2011-2012,2.4.0
66653,2011-2012,1.9.0
66654,2011-2012,1.8.0
66655,2011-2012,2.4.0
66657,2011-2012,1.8.0
66658,2011-2012,2.4.0
66659,2011-2012,2.4.0
66660,2011-2012,1.9.0
66661,2011-2012,2.5.0
66663,2011-2012,1.9.0
66665,2011-2012,2.2.0
66667,2011-2012,2.4.0
66668,2011-2012,2.0.0
66669,2011-2012,2.4.0
66670,2011-2012,2.4.0
66671,2011-2012,1.5.0
66672,2011-2012,2.0.0
66674,2011-2012,2.5.0
66676,2011-2012,1.5.0
66677,2011-2012,2.0.0
66678,2011-2012,1.8.0
66679,2011-2012,2.4.0
66680,2011-2012,2.4.0
66682,2011-2012,2.5.0
66684,2011-2012,2.2.0
66685,2011-2012,2.3.0
66687,2011-2012,2.5.0
66690,2011-2012,1.7.0
66693,2011-2012,2.4.0
66695,2011-2012,2.4.0
66696,2011-2012,1.8.0
66697,2011-2012,2.2.0
66698,2011-2012,2.4.0
66699,2011-2012,1.8.0
66700,2011-2012,2.2.0
66701,2011-2012,2.2.0
66702,2011-2012,2.2.0
66706,2011-2012,1.8.0
66707,2011-2012,2.4.0
66708,2011-2012,2.2.0
66710,2011-2012,2.4.0
66712,2011-2012,2.4.0
66713,2011-2012,2.3.0
66714,2011-2012,1.7.0
66715,2011-2012,1.8.0
66716,2011-2012,1.8.0
66717,2011-2012,2.4.0
66718,2011-2012,2.4.0
66719,2011-2012,2.5.0
66720,2011-2012,2.4.0
66721,2011-2012,1.9.0
66724,2011-2012,2.0.0
66725,2011-2012,2.5.0
66727,2011-2012,2.2.0
66730,2011-2012,2.3.0
66731,2011-2012,2.4.0
66732,2011-2012,1.8.0
66734,2011-2012,2.2.0
66735,2011-2012,1.8.0
66736,2011-2012,1.7.0
66737,2011-2012,2.4.0
66738,2011-2012,2.4.0
66739,2011-2012,2.2.0
66741,2011-2012,1.9.0
66744,2011-2012,1.5.0
66747,2011-2012,2.4.0
66748,2011-2012,2.2.0
66749,2011-2012,2.5.0
66751,2011-2012,1.7.0
66752,2011-2012,2.4.0
66754,2011-2012,2.5.0
66755,2011-2012,1.9.0
66758,2011-2012,2.0.0
66759,2011-2012,2.4.0
66762,2011-2012,1.9.0
66763,2011-2012,2.4.0
66766,2011-2012,2.5.0
66768,2011-2012,1.8.0
66769,2011-2012,2.4.0
66770,2011-2012,1.9.0
66771,2011-2012,2.4.0
66774,2011-2012,2.3.0
66775,2011-2012,2.2.0
66777,2011-2012,2.4.0
66778,2011-2012,2.4.0
66779,2011-2012,2.2.0
66781,2011-2012,2.4.0
66782,2011-2012,1.8.0
66784,2011-2012,1.5.0
66785,2011-2012,1.7.0
66786,2011-2012,1.9.0
66787,2011-2012,2.5.0
66788,2011-2012,1.5.0
66789,2011-2012,2.4.0
66791,2011-2012,2.4.0
66793,2011-2012,2.5.0
66794,2011-2012,2.2.0
66795,2011-2012,2.4.0
66796,2011-2012,2.0.0
66798,2011-2012,1.5.0
66799,2011-2012,2.4.0
66800,2011-2012,1.5.0
66801,2011-2012,2.5.0
66802,2011-2012,2.0.0
66804,2011-2012,1.5.0
66807,2011-2012,2.2.0
66810,2011-2012,2.3.0
66812,2011-2012,2.2.0
66813,2011-2012,2.5.0
66817,2011-2012,2.4.0
66818,2011-2012,1.9.0
66819,2011-2012,2.5.0
66821,2011-2012,1.7.0
66822,2011-2012,2.3.0
66824,2011-2012,2.5.0
66825,2011-2012,2.4.0
66827,2011-2012,2.2.0
66829,2011-2012,2.4.0
66830,2011-2012,2.2.0
66832,2011-2012,2.0.0
66833,2011-2012,2.4.0
66834,2011-2012,2.4.0
66835,2011-2012,2.4.0
66836,2011-2012,2.2.0
66837,2011-2012,2.4.0
66838,2011-2012,2.5.0
66839,2011-2012,1.8.0
66840,2011-2012,2.4.0
66844,2011-2012,2.4.0
66848,2011-2012,2.4.0
66851,2011-2012,2.4.0
66854,2011-2012,1.8.0
66855,2011-2012,2.2.0
66857,2011-2012,1.8.0
66858,2011-2012,1.5.0
66861,2011-2012,2.4.0
66862,2011-2012,1.9.0
66864,2011-2012,1.5.0
66865,2011-2012,2.4.0
66868,2011-2012,1.7.0
66869,2011-2012,2.4.0
66870,2011-2012,2.4.0
66872,2011-2012,2.4.0
66873,2011-2012,2.1.0
66874,2011-2012,1.5.0
66875,2011-2012,2.4.0
66876,2011-2012,2.4.0
66877,2011-2012,1.5.0
66878,2011-2012,2.4.0
66879,2011-2012,2.5.0
66880,2011-2012,1.8.0
66881,2011-2012,2.4.0
66882,2011-2012,2.4.0
66883,2011-2012,2.4.0
66884,2011-2012,2.0.0
66885,2011-2012,2.5.0
66889,2011-2012,2.5.0
66890,2011-2012,2.4.0
66891,2011-2012,2.4.0
66893,2011-2012,2.0.0
66895,2011-2012,2.4.0
66896,2011-2012,1.5.0
66897,2011-2012,1.5.0
66898,2011-2012,2.4.0
66899,2011-2012,2.3.0
66901,2011-2012,2.4.0
66902,2011-2012,2.4.0
66903,2011-2012,2.0.0
66904,2011-2012,2.4.0
66905,2011-2012,1.7.0
66906,2011-2012,2.5.0
66908,2011-2012,2.2.0
66909,2011-2012,2.0.0
66911,2011-2012,1.5.0
66912,2011-2012,1.8.0
66913,2011-2012,2.4.0
66914,2011-2012,2.2.0
66915,2011-2012,2.5.0
66917,2011-2012,1.8.0
66918,2011-2012,2.3.0
66919,2011-2012,2.3.0
66920,2011-2012,1.5.0
66921,2011-2012,2.4.0
66922,2011-2012,1.8.0
66923,2011-2012,2.5.0
66924,2011-2012,2.4.0
66925,2011-2012,1.9.0
66926,2011-2012,1.8.0
66927,2011-2012,1.8.0
66929,2011-2012,2.5.0
66930,2011-2012,1.9.0
66931,2011-2012,1.8.0
66932,2011-2012,1.5.0
66933,2011-2012,2.3.0
66934,2011-2012,1.5.0
66936,2011-2012,2.2.0
66937,2011-2012,2.3.0
66938,2011-2012,2.4.0
66940,2011-2012,2.4.0
66941,2011-2012,2.2.0
66942,2011-2012,2.5.0
66943,2011-2012,2.5.0
66944,2011-2012,2.4.0
66945,2011-2012,2.2.0
66946,2011-2012,2.4.0
66947,2011-2012,2.2.0
66948,2011-2012,2.5.0
66949,2011-2012,2.3.0
66950,2011-2012,2.0.0
66951,2011-2012,2.3.0
66953,2011-2012,2.3.0
66954,2011-2012,2.2.0
66955,2011-2012,1.5.0
66956,2011-2012,1.5.0
66957,2011-2012,2.4.0
66958,2011-2012,2.5.0
66959,2011-2012,1.7.0
66961,2011-2012,2.5.0
66964,2011-2012,2.0.0
66966,2011-2012,2.4.0
66968,2011-2012,2.3.0
66969,2011-2012,2.3.0
66970,2011-2012,1.9.0
66971,2011-2012,2.4.0
66973,2011-2012,2.0.0
66974,2011-2012,2.5.0
66975,2011-2012,2.5.0
66976,2011-2012,1.9.0
66977,2011-2012,1.9.0
66978,2011-2012,1.9.0
66979,2011-2012,2.2.0
66980,2011-2012,1.9.0
66981,2011-2012,2.5.0
66982,2011-2012,2.4.0
66984,2011-2012,2.5.0
66985,2011-2012,2.5.0
66986,2011-2012,2.2.0
66988,2011-2012,2.4.0
66990,2011-2012,1.5.0
66992,2011-2012,2.0.0
66994,2011-2012,2.5.0
66995,2011-2012,2.4.0
66996,2011-2012,2.4.0
67000,2011-2012,2.2.0
67001,2011-2012,1.8.0
67002,2011-2012,1.8.0
67003,2011-2012,2.2.0
67007,2011-2012,1.8.0
67009,2011-2012,2.3.0
67012,2011-2012,2.3.0
67014,2011-2012,2.5.0
67015,2011-2012,2.4.0
67016,2011-2012,2.4.0
67019,2011-2012,1.5.0
67020,2011-2012,1.5.0
67021,2011-2012,2.0.0
67022,2011-2012,2.5.0
67024,2011-2012,2.0.0
67025,2011-2012,1.9.0
67027,2011-2012,2.0.0
67028,2011-2012,2.3.0
67030,2011-2012,1.5.0
67031,2011-2012,1.9.0
67032,2011-2012,2.2.0
67034,2011-2012,2.0.0
67036,2011-2012,2.4.0
67037,2011-2012,2.4.0
67039,2011-2012,2.4.0
67040,2011-2012,1.8.0
67041,2011-2012,1.8.0
67042,2011-2012,2.2.0
67044,2011-2012,2.4.0
67046,2011-2012,1.9.0
67047,2011-2012,1.7.0
67049,2011-2012,1.5.0
67050,2011-2012,1.9.0
67051,2011-2012,2.3.0
67053,2011-2012,2.5.0
67054,2011-2012,2.4.0
67055,2011-2012,2.4.0
67056,2011-2012,2.5.0
67058,2011-2012,2.4.0
67059,2011-2012,2.4.0
67060,2011-2012,2.4.0
67061,2011-2012,2.5.0
67063,2011-2012,1.5.0
67065,2011-2012,2.5.0
67066,2011-2012,2.4.0
67067,2011-2012,2.5.0
67068,2011-2012,1.9.0
67069,2011-2012,1.8.0
67070,2011-2012,1.8.0
67071,2011-2012,2.4.0
67072,2011-2012,1.5.0
67073,2011-2012,2.4.0
67074,2011-2012,1.7.0
67075,2011-2012,1.8.0
67076,2011-2012,2.4.0
67078,2011-2012,1.9.0
67079,2011-2012,2.4.0
67080,2011-2012,1.9.0
67081,2011-2012,2.2.0
67082,2011-2012,1.5.0
67083,2011-2012,2.2.0
67086,2011-2012,2.3.0
67087,2011-2012,2.0.0
67088,2011-2012,1.5.0
67091,2011-2012,2.5.0
67092,2011-2012,2.4.0
67093,2011-2012,2.5.0
67094,2011-2012,2.4.0
67095,2011-2012,2.4.0
67096,2011-2012,2.3.0
67097,2011-2012,1.9.0
67098,2011-2012,1.5.0
67099,2011-2012,2.5.0
67100,2011-2012,2.5.0
67101,2011-2012,2.3.0
67102,2011-2012,2.4.0
67104,2011-2012,1.9.0
67105,2011-2012,1.5.0
67106,2011-2012,1.9.0
67107,2011-2012,2.2.0
67110,2011-2012,2.4.0
67111,2011-2012,1.7.0
67112,2011-2012,1.5.0
67113,2011-2012,1.8.0
67115,2011-2012,2.5.0
67117,2011-2012,2.5.0
67118,2011-2012,2.4.0
67119,2011-2012,2.4.0
67121,2011-2012,1.9.0
67122,2011-2012,2.2.0
67124,2011-2012,2.4.0
67126,2011-2012,1.8.0
67127,2011-2012,1.7.0
67128,2011-2012,1.9.0
67129,2011-2012,2.5.0
67130,2011-2012,1.7.0
67131,2011-2012,2.4.0
67132,2011-2012,2.4.0
67133,2011-2012,2.3.0
67134,2011-2012,2.4.0
67135,2011-2012,2.4.0
67136,2011-2012,1.9.0
67137,2011-2012,1.5.0
67138,2011-2012,1.7.0
67141,2011-2012,1.7.0
67143,2011-2012,2.0.0
67146,2011-2012,2.0.0
67148,2011-2012,1.9.0
67149,2011-2012,1.5.0
67152,2011-2012,1.5.0
67153,2011-2012,1.5.0
67156,2011-2012,2.5.0
67157,2011-2012,2.4.0
67158,2011-2012,2.5.0
67159,2011-2012,2.2.0
67160,2011-2012,1.9.0
67164,2011-2012,2.2.0
67165,2011-2012,2.0.0
67166,2011-2012,1.8.0
67167,2011-2012,1.9.0
67168,2011-2012,2.4.0
67169,2011-2012,2.5.0
67170,2011-2012,1.9.0
67171,2011-2012,1.9.0
67174,2011-2012,2.1.0
67175,2011-2012,2.4.0
67176,2011-2012,1.9.0
67177,2011-2012,2.2.0
67179,2011-2012,1.8.0
67180,2011-2012,2.4.0
67181,2011-2012,2.5.0
67182,2011-2012,2.5.0
67183,2011-2012,2.5.0
67184,2011-2012,2.0.0
67185,2011-2012,2.3.0
67186,2011-2012,1.5.0
67187,2011-2012,2.3.0
67188,2011-2012,2.5.0
67189,2011-2012,2.3.0
67190,2011-2012,2.5.0
67191,2011-2012,2.5.0
67192,2011-2012,1.5.0
67193,2011-2012,1.8.0
67194,2011-2012,1.8.0
67195,2011-2012,2.4.0
67197,2011-2012,1.9.0
67198,2011-2012,2.5.0
67199,2011-2012,2.2.0
67200,2011-2012,1.8.0
67201,2011-2012,1.9.0
67202,2011-2012,2.4.0
67203,2011-2012,1.9.0
67204,2011-2012,2.4.0
67206,2011-2012,2.5.0
67207,2011-2012,2.4.0
67208,2011-2012,1.5.0
67209,2011-2012,2.2.0
67210,2011-2012,2.5.0
67214,2011-2012,2.2.0
67215,2011-2012,2.4.0
67217,2011-2012,1.7.0
67219,2011-2012,2.4.0
67220,2011-2012,2.5.0
67221,2011-2012,2.5.0
67222,2011-2012,1.7.0
67223,2011-2012,2.5.0
67225,2011-2012,2.4.0
67226,2011-2012,2.4.0
67227,2011-2012,2.4.0
67228,2011-2012,2.4.0
67229,2011-2012,2.4.0
67230,2011-2012,2.4.0
67231,2011-2012,2.3.0
67232,2011-2012,2.4.0
67233,2011-2012,1.9.0
67234,2011-2012,2.5.0
67235,2011-2012,2.4.0
67236,2011-2012,1.7.0
67237,2011-2012,2.4.0
67238,2011-2012,2.4.0
67243,2011-2012,1.5.0
67244,2011-2012,1.5.0
67245,2011-2012,2.2.0
67247,2011-2012,2.4.0
67248,2011-2012,2.2.0
67249,2011-2012,2.2.0
67250,2011-2012,1.7.0
67251,2011-2012,2.4.0
67252,2011-2012,2.2.0
67253,2011-2012,2.0.0
67254,2011-2012,1.7.0
67255,2011-2012,2.2.0
67256,2011-2012,2.5.0
67257,2011-2012,2.4.0
67258,2011-2012,1.9.0
67259,2011-2012,1.9.0
67264,2011-2012,2.4.0
67266,2011-2012,2.3.0
67269,2011-2012,1.8.0
67270,2011-2012,2.3.0
67272,2011-2012,2.4.0
67273,2011-2012,1.7.0
67275,2011-2012,1.5.0
67276,2011-2012,1.9.0
67279,2011-2012,1.9.0
67280,2011-2012,2.3.0
67281,2011-2012,2.0.0
67282,2011-2012,1.8.0
67283,2011-2012,2.4.0
67284,2011-2012,2.2.0
67285,2011-2012,2.2.0
67286,2011-2012,2.4.0
67287,2011-2012,2.3.0
67288,2011-2012,2.3.0
67290,2011-2012,2.4.0
67291,2011-2012,2.5.0
67292,2011-2012,1.5.0
67293,2011-2012,2.0.0
67297,2011-2012,2.5.0
67298,2011-2012,2.4.0
67299,2011-2012,2.4.0
67304,2011-2012,2.5.0
67305,2011-2012,1.8.0
67306,2011-2012,1.9.0
67307,2011-2012,2.5.0
67308,2011-2012,2.3.0
67309,2011-2012,2.5.0
67310,2011-2012,2.3.0
67311,2011-2012,2.3.0
67312,2011-2012,1.9.0
67313,2011-2012,2.3.0
67314,2011-2012,1.8.0
67315,2011-2012,1.5.0
67316,2011-2012,2.2.0
67318,2011-2012,2.4.0
67320,2011-2012,1.9.0
67321,2011-2012,1.9.0
67322,2011-2012,2.4.0
67323,2011-2012,2.3.0
67324,2011-2012,1.9.0
67326,2011-2012,1.9.0
67327,2011-2012,2.0.0
67328,2011-2012,1.7.0
67329,2011-2012,1.5.0
67330,2011-2012,1.5.0
67331,2011-2012,2.4.0
67332,2011-2012,2.3.0
67333,2011-2012,2.4.0
67335,2011-2012,1.7.0
67336,2011-2012,1.5.0
67337,2011-2012,1.8.0
67338,2011-2012,1.8.0
67339,2011-2012,1.7.0
67340,2011-2012,1.5.0
67341,2011-2012,2.4.0
67342,2011-2012,2.3.0
67343,2011-2012,2.0.0
67344,2011-2012,1.7.0
67346,2011-2012,1.5.0
67347,2011-2012,1.9.0
67348,2011-2012,2.4.0
67349,2011-2012,1.5.0
67351,2011-2012,1.5.0
67352,2011-2012,2.4.0
67353,2011-2012,2.2.0
67355,2011-2012,2.3.0
67356,2011-2012,1.5.0
67357,2011-2012,1.5.0
67359,2011-2012,2.3.0
67360,2011-2012,2.0.0
67361,2011-2012,2.4.0
67362,2011-2012,2.2.0
67363,2011-2012,1.9.0
67364,2011-2012,2.2.0
67365,2011-2012,2.4.0
67367,2011-2012,1.7.0
67368,2011-2012,2.2.0
67371,2011-2012,2.2.0
67373,2011-2012,2.5.0
